subject	predicate	object
castPair52	schema:actor	person1327
castPair53	schema:actor	person1328
castPair54	schema:actor	person1330
castPair55	schema:actor	person2716
castPair56	schema:actor	person110742
castPair57	schema:actor	person115974
castPair58	schema:actor	person206
castPair59	schema:actor	person208677
castPair60	schema:actor	person222121
castPair61	schema:actor	person115974
castPair62	schema:actor	person206
castPair63	schema:actor	person208677
castPair64	schema:actor	person222121
castPair65	schema:actor	person1304661
castPair66	schema:actor	person1304662
castPair67	schema:actor	person17064
castPair68	schema:actor	person19923
castPair69	schema:actor	person477
castPair70	schema:actor	person15277
castPair71	schema:actor	person1649152
castPair72	schema:actor	person505710
castPair73	schema:actor	person116
castPair74	schema:actor	person1327
castPair75	schema:actor	person1709
castPair76	schema:actor	person1710
castPair77	schema:actor	person1711
castPair78	schema:actor	person378
castPair79	schema:actor	person85
castPair80	schema:actor	person1920
castPair81	schema:actor	person206
castPair82	schema:actor	person208677
castPair83	schema:actor	person222121
castPair84	schema:actor	person1709
castPair85	schema:actor	person1710
castPair86	schema:actor	person1711
castPair87	schema:actor	person378
castPair88	schema:actor	person85
castPair89	schema:actor	person140
castPair90	schema:actor	person18897
castPair91	schema:actor	person19274
castPair92	schema:actor	person212
castPair93	schema:actor	person4483
castPair94	schema:actor	person70851
castPair95	schema:actor	person2449
castPair96	schema:actor	person85
castPair97	schema:actor	person1222060
castPair98	schema:actor	person144655
castPair99	schema:actor	person149894
castPair100	schema:actor	person84507
castPair101	schema:actor	person93803
castPair102	schema:actor	person9705
castPair103	schema:actor	person3223
castPair104	schema:actor	person6941
castPair105	schema:actor	person776
castPair106	schema:actor	person16483
castPair107	schema:actor	person40325
castPair108	schema:actor	person77927
castPair109	schema:actor	person77931
castPair110	schema:actor	person83768
castPair111	schema:actor	person144655
castPair112	schema:actor	person149894
castPair113	schema:actor	person84507
castPair114	schema:actor	person93803
castPair115	schema:actor	person9705
castPair116	schema:actor	person54882
castPair117	schema:actor	person884
castPair118	schema:actor	person1233
castPair119	schema:actor	person2283
castPair120	schema:actor	person27972
castPair121	schema:actor	person2954
castPair122	schema:actor	person55636
castPair123	schema:actor	person57755
castPair124	schema:actor	person72129
castPair125	schema:actor	person9281
castPair126	schema:actor	person96066
castPair127	schema:actor	person16828
castPair128	schema:actor	person16851
castPair129	schema:actor	person17604
castPair130	schema:actor	person1896
castPair131	schema:actor	person2231
castPair132	schema:actor	person3223
castPair133	schema:actor	person74568
castPair134	schema:actor	person4495
castPair135	schema:actor	person20664
castPair136	schema:actor	person215919
castPair137	schema:actor	person40325
castPair138	schema:actor	person77927
castPair139	schema:actor	person77931
castPair140	schema:actor	person77933
castPair141	schema:actor	person77934
castPair142	schema:actor	person83768
castPair143	schema:actor	person84508
castPair144	schema:actor	person2
castPair145	schema:actor	person1271449
castPair146	schema:actor	person1937839
castPair147	schema:actor	person2244922
castPair148	schema:actor	person1937839
castPair149	schema:actor	person2244922
castPair150	schema:actor	person1339108
castPair151	schema:actor	person1471280
castPair152	schema:actor	person1874
castPair153	schema:actor	person223768
castPair154	schema:actor	person25409
castPair155	schema:actor	person912632
castPair156	schema:actor	person4566
castPair157	schema:actor	person5469
castPair158	schema:actor	person85
castPair159	schema:actor	person17647
castPair160	schema:actor	person51329
castPair161	schema:actor	person543261
castPair162	schema:actor	person543530
castPair163	schema:actor	person73457
castPair164	schema:actor	person8691
castPair165	schema:actor	person2975
castPair166	schema:actor	person6384
castPair167	schema:actor	person6972
castPair168	schema:actor	person12950
castPair169	schema:actor	person12951
castPair170	schema:actor	person7633
castPair171	schema:actor	person12951
castPair172	schema:actor	person7633
castPair173	schema:actor	person7633
castPair174	schema:actor	person34199
castPair175	schema:actor	person34982
castPair176	schema:actor	person34983
castPair177	schema:actor	person35109
castPair178	schema:actor	person35224
castPair179	schema:actor	person43125
castPair180	schema:actor	person44052
castPair181	schema:actor	person9601
castPair182	schema:actor	person1304662
castPair183	schema:actor	person17064
castPair184	schema:actor	person19923
castPair185	schema:actor	person477
castPair186	schema:actor	person17064
castPair187	schema:actor	person19923
castPair188	schema:actor	person477
castPair189	schema:actor	person2
castPair190	schema:actor	person236695
castPair191	schema:actor	person25072
castPair192	schema:actor	person4
castPair193	schema:actor	person93210
castPair194	schema:actor	person37632
castPair195	schema:actor	person58873
castPair196	schema:actor	person77795
castPair197	schema:actor	person998225
castPair198	schema:actor	person1328
castPair199	schema:actor	person1330
castPair200	schema:actor	person25136
castPair201	schema:actor	person30315
castPair202	schema:actor	person7060
castPair203	schema:actor	person1330
castPair204	schema:actor	person2975
castPair205	schema:actor	person530
castPair206	schema:actor	person6384
castPair207	schema:actor	person236696
castPair208	schema:actor	person58395
castPair209	schema:actor	person1471280
castPair210	schema:actor	person1874
castPair211	schema:actor	person223768
castPair212	schema:actor	person25409
castPair213	schema:actor	person912632
castPair214	schema:actor	person141
castPair215	schema:actor	person147
castPair216	schema:actor	person240171
castPair217	schema:actor	person2535
castPair218	schema:actor	person589
castPair219	schema:actor	person18897
castPair220	schema:actor	person19274
castPair221	schema:actor	person212
castPair222	schema:actor	person4483
castPair223	schema:actor	person70851
castPair224	schema:actor	person147
castPair225	schema:actor	person240171
castPair226	schema:actor	person2535
castPair227	schema:actor	person589
castPair228	schema:actor	person2632
castPair229	schema:actor	person28637
castPair230	schema:actor	person5726
castPair231	schema:actor	person6730
castPair232	schema:actor	person7399
castPair233	schema:actor	person9575
castPair234	schema:actor	person149894
castPair235	schema:actor	person84507
castPair236	schema:actor	person93803
castPair237	schema:actor	person9705
castPair238	schema:actor	person18997
castPair239	schema:actor	person4785
castPair240	schema:actor	person73457
castPair241	schema:actor	person240171
castPair242	schema:actor	person2535
castPair243	schema:actor	person589
castPair244	schema:actor	person1874
castPair245	schema:actor	person223768
castPair246	schema:actor	person25409
castPair247	schema:actor	person912632
castPair248	schema:actor	person84507
castPair249	schema:actor	person93803
castPair250	schema:actor	person9705
castPair251	schema:actor	person18980
castPair252	schema:actor	person23679
castPair253	schema:actor	person31531
castPair254	schema:actor	person31549
castPair255	schema:actor	person34521
castPair256	schema:actor	person34983
castPair257	schema:actor	person52794
castPair258	schema:actor	person1649152
