candidate_id,candidate_title,year,cos,meta,final,seed,comp_genres,comp_keywords,comp_cast,comp_director,comp_runtime,comp_language,comp_popularity,comp_vote,name_norm,year_str,genre_list,director_list,watchlist_priority,genre_boost,director_boost,genre_penalty,director_penalty,score
10707,The Squid and the Whale,2005.0,0.0,0.5853,0.2341,The Meyerowitz Stories (New and Selected),1.0,0.0667,0.0,1.0,0.5863,1.0,0.9728,0.8798,the squid and the whale,2005,[],[],False,False,False,False,False,0
10659,Siegfried,2005.0,0.0,0.5884,0.2353,Otto's Eleven,1.0,0.0,0.0526,1.0,0.9978,1.0,0.8597,0.6993,siegfried,2005,[],[],False,False,False,False,False,0
9479,The Nightmare Before Christmas,1993.0,0.0,0.5886,0.2355,Coraline,1.0,0.0541,0.0,1.0,0.7261,1.0,0.8457,0.9845,the nightmare before christmas,1993,[],[],False,False,False,False,False,0
9494,Look Who's Talking,1989.0,0.0,0.5919,0.2367,Clueless,1.0,0.0417,0.0256,1.0,0.9912,1.0,0.8247,0.7523,look who's talking,1989,[],[],False,False,False,False,False,0
466532,Clara,2018.0,0.1593,0.3578,0.2387,Ex Machina,0.6667,0.0,0.0,0.0,0.9978,1.0,0.8434,0.982,clara,2018,[],[],False,False,False,False,False,0
28942,The Brood,1979.0,0.0,0.6036,0.2415,The Fly,1.0,0.1,0.0,1.0,0.9912,1.0,0.8588,0.8227,the brood,1979,[],[],False,False,False,False,False,0
443411,Jerrod Carmichael: 8,2017.0,0.0,0.6173,0.2469,Bo Burnham: What.,1.0,0.5,0.0,0.5,0.9994,1.0,0.9863,0.861,jerrod carmichael: 8,2017,[],[],False,False,False,False,False,0
863,Toy Story 2,1999.0,0.0,0.6197,0.2479,Toy Story,0.75,0.1143,0.3793,1.0,0.935,1.0,0.8261,0.908,toy story 2,1999,[],[],False,False,False,False,False,0
1379382,Fortune Feimster: Crushing It,2024.0,0.0,0.6201,0.248,Hannah Gadsby: Douglas,1.0,1.0,0.0,0.0,0.8968,1.0,0.9986,0.5057,fortune feimster: crushing it,2024,[],[],False,False,False,False,False,0
28685,Malcolm,1986.0,0.1264,0.4373,0.2508,Johnny English Reborn,1.0,0.0,0.0,0.0,0.935,1.0,0.9013,0.9103,malcolm,1986,[],[],False,False,False,False,False,0
330457,Frozen II,2019.0,0.0,0.636,0.2544,Frozen,0.8,0.1622,0.2903,1.0,0.9994,1.0,0.9116,0.9995,frozen ii,2019,[],[],False,False,False,False,False,0
901,City Lights,1931.0,0.0,0.6371,0.2548,Modern Times,1.0,0.0769,0.1111,1.0,1.0,1.0,0.9939,0.9955,city lights,1931,[],[],False,False,False,False,False,0
439107,Katherine Ryan: In Trouble,2017.0,0.0,0.6379,0.2552,Hannah Gadsby: Douglas,1.0,1.0,0.0,0.0,0.956,1.0,0.9901,0.8125,katherine ryan: in trouble,2017,[],[],False,False,False,False,False,0
620778,Jim Gaffigan: Quality Time,2019.0,0.0,0.6424,0.257,Hannah Gadsby: Douglas,1.0,1.0,0.0,0.0,0.995,1.0,0.9913,0.8625,jim gaffigan: quality time,2019,[],[],False,False,False,False,False,0
869,Planet of the Apes,2001.0,0.2096,0.4423,0.3027,Starship Troopers,1.0,0.0645,0.0,0.0,0.956,1.0,0.9627,0.6683,planet of the apes,2001,[],[],False,False,False,False,False,0
929,Godzilla,1998.0,0.1888,0.524,0.3229,The Day After Tomorrow,0.75,0.0189,0.0,1.0,0.8825,1.0,0.9986,0.7732,godzilla,1998,[],[],False,False,False,False,False,0
262606,Talkback,1987.0,0.3445,0.3612,0.3512,Aftersun,1.0,0.04,0.0,0.0,0.21,1.0,0.8545,0.0,talkback,1987,[],[],False,False,False,False,False,0
10730,King Kong,1976.0,0.3074,0.4265,0.355,King Kong,1.0,0.08,0.0,0.0,0.6065,1.0,0.9334,0.6692,king kong,1976,[],[],False,False,False,False,False,0
999283,Andrew Schulz: Infamous,2022.0,0.0,0.547,0.2188,Bo Burnham: What.,1.0,0.5,0.0,0.0,0.995,1.0,0.9783,0.9658,andrew schulz: infamous,2022,[],[],False,False,False,False,False,0
624932,Dave Chappelle: Sticks & Stones,2019.0,0.0,0.5455,0.2182,Bo Burnham: What.,1.0,0.5,0.0,0.0,0.9862,1.0,0.9847,0.9393,dave chappelle: sticks & stones,2019,[],[],False,False,False,False,False,0
630528,Dan Andersen: På vippen,2019.0,0.0,0.5439,0.2175,Hannah Gadsby: Douglas,1.0,1.0,0.0,0.0,0.8825,0.0,0.995,0.0,dan andersen: på vippen,2019,[],[],False,False,False,False,False,0
962,The Gold Rush,1925.0,0.0,0.4907,0.1963,Modern Times,0.5,0.0541,0.0526,1.0,0.9651,1.0,0.996,0.926,the gold rush,1925,[],[],False,False,False,False,False,0
924,Dawn of the Dead,2004.0,0.0,0.4777,0.1911,Army of the Dead,0.6667,0.0435,0.0,1.0,0.2931,1.0,0.9718,0.7818,dawn of the dead,2004,[],[],False,False,False,False,False,0
456616,How to Be Really Bad,2018.0,0.0,0.4802,0.1921,Look Who's Back,1.0,0.2,0.0,0.0,0.8674,1.0,0.9828,0.954,how to be really bad,2018,[],[],False,False,False,False,False,0
19415,Summer Lovers,1982.0,0.0,0.4806,0.1922,Grease,0.6667,0.02,0.0,1.0,0.9231,1.0,0.787,0.489,summer lovers,1982,[],[],False,False,False,False,False,0
1730,Inland Empire,2006.0,0.0,0.4849,0.1939,Mulholland Drive,0.6,0.0952,0.0256,1.0,0.5461,1.0,0.8695,0.7983,inland empire,2006,[],[],False,False,False,False,False,0
