subject	predicate	object
person77933	ex:strongCastWith	person90567
person77933	ex:strongCastWith	person9711
person77934	ex:strongCastWith	person81244
person77934	ex:strongCastWith	person83768
person77934	ex:strongCastWith	person84508
person77934	ex:strongCastWith	person90567
person78798	ex:strongCastWith	person78799
person79020	ex:strongCastWith	person79021
person81244	ex:strongCastWith	person83768
person81244	ex:strongCastWith	person90567
person83768	ex:strongCastWith	person90567
person83768	ex:strongCastWith	person9711
person84507	ex:strongCastWith	person93803
person84507	ex:strongCastWith	person9705
person880	ex:strongCastWith	person90633
person880	ex:strongCastWith	person9273
person90633	ex:strongCastWith	person9273
person90633	ex:strongCastWith	person935
person9281	ex:strongCastWith	person96066
person93803	ex:strongCastWith	person9705
person1315036	ex:strongCastWith	person1023139
person2	ex:strongCastWith	person1023139
person236695	ex:strongCastWith	person1023139
person25072	ex:strongCastWith	person1023139
person4	ex:strongCastWith	person1023139
person93210	ex:strongCastWith	person1023139
person1245	ex:strongCastWith	person103
person16828	ex:strongCastWith	person103
person17604	ex:strongCastWith	person103
person1896	ex:strongCastWith	person103
person3223	ex:strongCastWith	person103
person71580	ex:strongCastWith	person103
person74568	ex:strongCastWith	person103
person1063	ex:strongCastWith	person1062
person1065	ex:strongCastWith	person1062
person521	ex:strongCastWith	person1062
person1065	ex:strongCastWith	person1063
person521	ex:strongCastWith	person1063
person85	ex:strongCastWith	person1064
person521	ex:strongCastWith	person1065
person8930	ex:strongCastWith	person10713
person1109702	ex:strongCastWith	person10859
person122750	ex:strongCastWith	person10859
person54882	ex:strongCastWith	person10859
person110	ex:strongCastWith	person109
person1327	ex:strongCastWith	person109
person1328	ex:strongCastWith	person109
person1330	ex:strongCastWith	person109
person10989	ex:strongCastWith	person10980
person10990	ex:strongCastWith	person10980
person10993	ex:strongCastWith	person10980
person1283	ex:strongCastWith	person10980
person1923	ex:strongCastWith	person10980
person4566	ex:strongCastWith	person10980
person5469	ex:strongCastWith	person10980
person5658	ex:strongCastWith	person10980
person10990	ex:strongCastWith	person10989
person10993	ex:strongCastWith	person10989
person1283	ex:strongCastWith	person10989
person1923	ex:strongCastWith	person10989
person4566	ex:strongCastWith	person10989
person5469	ex:strongCastWith	person10989
person5658	ex:strongCastWith	person10989
person10993	ex:strongCastWith	person10990
person1283	ex:strongCastWith	person10990
person1923	ex:strongCastWith	person10990
person4566	ex:strongCastWith	person10990
person5469	ex:strongCastWith	person10990
person5658	ex:strongCastWith	person10990
person1923	ex:strongCastWith	person10993
person4566	ex:strongCastWith	person10993
