Date,Name,Year,Letterboxd URI,Rating
2022-03-16,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/hSyO,3.5
2022-03-19,Fright Night,2011,https://boxd.it/l1S,4
2022-03-26,Wonder Woman 1984,2020,https://boxd.it/gBtA,3.5
2022-03-27,Bo Burnham: What.,2013,https://boxd.it/7au4,5
2022-03-27,Bo Burnham: Make Happy,2016,https://boxd.it/e436,4.5
2022-04-06,Life of Pi,2012,https://boxd.it/37pC,4
2022-04-13,Hunt for the Wilderpeople,2016,https://boxd.it/cTgG,4
2022-04-14,The Green Mile,1999,https://boxd.it/2agG,3.5
2022-04-25,What We Do in the Shadows,2014,https://boxd.it/7eQy,4
2022-04-29,Zack Snyder's Justice League,2021,https://boxd.it/tLOk,3
2022-04-30,The Suicide Squad,2021,https://boxd.it/fw6O,3.5
2022-05-04,Tusk,2014,https://boxd.it/7eoa,1
2022-05-04,In My Skin,2002,https://boxd.it/283A,4.5
2022-05-07,A Cure for Wellness,2016,https://boxd.it/bkQW,3
2022-05-11,Sherlock: The Great Game,2010,https://boxd.it/mwRa,5
2022-05-12,Sherlock: A Scandal in Belgravia,2012,https://boxd.it/mwHE,3.5
2022-05-12,Sherlock: The Blind Banker,2010,https://boxd.it/mwHY,4
2022-05-12,Sherlock: A Study in Pink,2010,https://boxd.it/mueU,4
2022-05-12,Sherlock: The Hounds of Baskerville,2012,https://boxd.it/mwHu,4
2022-05-13,Sherlock: The Reichenbach Fall,2012,https://boxd.it/mwV2,5
2022-05-15,Sherlock: The Empty Hearse,2014,https://boxd.it/mwIM,3
2022-05-16,Sherlock: The Sign of Three,2014,https://boxd.it/mwSs,5
2022-05-16,Sherlock: His Last Vow,2014,https://boxd.it/wls4,4
2022-05-17,Sherlock: The Abominable Bride,2016,https://boxd.it/dbTQ,4
2022-05-18,Sherlock: The Six Thatchers,2017,https://boxd.it/uDZw,2.5
2022-05-19,Sherlock: The Lying Detective,2017,https://boxd.it/uBH6,3.5
2022-05-20,Sherlock: The Final Problem,2017,https://boxd.it/fl5A,3.5
2022-05-27,Prehistoric Planet,2022,https://boxd.it/B2KS,4
2022-06-02,Bo Burnham: The Inside Outtakes,2022,https://boxd.it/C0h2,4
2022-06-18,Trainspotting,1996,https://boxd.it/29XY,2
2022-06-21,Hellraiser,1987,https://boxd.it/1Zpi,4.5
2022-06-26,Christopher Robin,2018,https://boxd.it/eSj4,4
2022-06-27,Paddington,2014,https://boxd.it/3RKw,3
2022-06-28,Paddington 2,2017,https://boxd.it/bCF8,4.5
2022-06-29,Hustle,2022,https://boxd.it/qpig,3.5
2022-06-30,In Bruges,2008,https://boxd.it/20n8,2
2022-07-03,Crimes of the Future,2022,https://boxd.it/uTuY,3
2022-07-05,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,5
2022-07-06,Pride,2014,https://boxd.it/6TwM,5
2022-07-11,Pretty Woman,1990,https://boxd.it/2b6M,3
2022-07-13,The Sea Beast,2022,https://boxd.it/kv3a,3
2022-07-13,Jurassic World Dominion,2022,https://boxd.it/ikXW,1.5
2022-07-13,Moon Knight,2022,https://boxd.it/zeDq,3
2022-07-13,It's Only the End of the World,2016,https://boxd.it/be0K,4.5
2022-07-16,Pirates of the Caribbean: The Curse of the Black Pearl,2003,https://boxd.it/70G,5
2022-07-18,Pirates of the Caribbean: Dead Man's Chest,2006,https://boxd.it/2bfk,3
2022-07-19,Pirates of the Caribbean: At World's End,2007,https://boxd.it/2aGu,3.5
2022-07-22,RRR,2022,https://boxd.it/ljDs,4.5
2022-07-24,The Blair Witch Project,1999,https://boxd.it/26ua,5
2022-07-24,Battle at Big Rock,2019,https://boxd.it/nlTQ,3
2022-07-27,Raw,2016,https://boxd.it/dLd2,4
2022-07-28,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,5
2022-08-15,Prey,2022,https://boxd.it/sNBU,3.5
2022-08-16,Thirteen Lives,2022,https://boxd.it/q7O4,3
2022-08-22,"Love, Death & Robots: Bad Travelling",2022,https://boxd.it/BykM,5
2022-08-22,"Love, Death & Robots: The Very Pulse of the Machine",2022,https://boxd.it/AW5O,3
2022-08-22,"Love, Death & Robots: Three Robots: Exit Strategies",2022,https://boxd.it/AVpy,2
2022-08-22,"Love, Death & Robots: Night of the Mini Dead",2022,https://boxd.it/AW6s,3.5
2022-08-22,"Love, Death & Robots: Kill Team Kill",2022,https://boxd.it/AW6M,2.5
2022-08-22,"Love, Death & Robots: Swarm",2022,https://boxd.it/AW84,4
