Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-07-25,Tarzan,1999,https://boxd.it/21eptv,4,,phil collins woke up and decided to write bangers only the day he wrote that soundtrack,"disney, animation",2021-07-25
2021-08-04,Luca,2021,https://boxd.it/22Elfl,4.5,Yes,first rewatch and it is still amazing. I could honestly watch this movie so many times and probably cry every single time,"disney, animation",2021-08-02
2021-08-05,Neon Genesis Evangelion,1995,https://boxd.it/22LbWt,5,,"I quite liked the last two episodes, despite the critisism they are getting. They're a deep dive into the characters psyche and the last scene is a more than fitting end to what's been a phenomenal show start to finish.","anime, evangelion",2021-08-01
2021-08-05,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/22LcDR,5,,what an ending like wow wtf I'm not even pretending like I understood everything that happened in the movie after my first watch. Evangelion is something that I'll probably come back to at least one more time though so maybe I'll have more to say then,"anime, evangelion",2021-08-03
2021-08-05,Bolt,2008,https://boxd.it/22OgOv,3.5,Yes,"what if truman burbank was a superhero dog 🤯
It was funny and heartfelt though, I don’t know why people hate on this as much as they do","disney, animation",2021-08-04
2021-08-13,Zootopia,2016,https://boxd.it/23W0or,3,,"honestly idk, I really wanted to love this but the movie is a lot too obvious for my taste with what it’s trying to tell me (granted, its targeted at kids, but those obvious references were gonna go over their heads anyway). Also, I’m not on board with the plot change of Judy leaning in to the predator theory, when she was defending them for the whole time before. Idk, it’s a good movie and I enjoyed it, I just didn’t like it as much as other people do

(I wanna add that I very much like its message, it’s definitely a bold move for a kids animated movie and I’m here for it. That doesn’t make the flaws go away tho)","disney, animation",2021-08-09
2021-08-16,The Big Short,2015,https://boxd.it/24s0kt,3.5,,after 1 hour in I said “fuck it“ and googled what a mortgage was,,2021-08-16
2021-08-20,The Fast and the Furious,2001,https://boxd.it/24WKcl,3,,jesse is actually very good ADHD representation so big up,,2021-08-19
2021-09-24,Fantastic Mr. Fox,2009,https://boxd.it/29Ofpd,4,,"I never really know how to describe Wes Anderson movies, and I also couldn't describe why they're so good. I just always know they are",wesanderson,2021-09-23
2021-09-24,The Darjeeling Limited,2007,https://boxd.it/29PUBL,3,,got interrupted twice by family problems while watching a movie about family problems,wesanderson,2021-09-24
2021-09-26,The Royal Tenenbaums,2001,https://boxd.it/2a3kuH,2.5,,"i’m probably missing sth, but for me the individual lines of this film exceed the film itself. maybe I need to watch it a second time some time",wesanderson,2021-09-25
2021-09-28,Hereditary,2018,https://boxd.it/2aodxV,5,,"I have never felt worse in my entire life than when I was watching this film, 10/10 I need to watch it again",,2021-09-27
2021-09-30,Free Guy,2021,https://boxd.it/2aD4PV,2.5,,taika waititi i am free on thursday night if u want to hang out please read this and then let me know if u want to hang out on thursday night when i am free,,2021-09-29
2021-10-02,Dune,2021,https://boxd.it/2aUruv,2.5,,"I really wanted to like this more than I did :(
let’s start with the good, there’s a lot to like here: visually/aesthetically it’s 10/10, I don’t think i‘ve ever seen a movie THIS beautiful. The cast is good, I am very much into the general lore and story and I LOVE so many of the concepts this film introduces.

Sadly, this all gets negated for me bc the movie just never managed to get me hooked at all. Things were happening on screen but I stayed completely apathetic though all of it. I realised when the movie wanted me to feel tense bc of the really fitting and good soundtrack, I just never got invested in the characters, so I didn’t care about what was happening to them.

All in all I might just not have been in the right mood for it, bc all my mates absolutely loved it. I’ll probably revisit this movie before the second one comes out, maybe i’ll see it differently then, but as of right now it sadly fell short for me",,2021-10-02
2021-10-07,Rushmore,1998,https://boxd.it/2bDyK1,5,,either wes anderson is an acquired taste and I‘ve seen enough of his work by now to have acquired it or this truly is his best movie. Maybe both. either way 5/5,wesanderson,2021-10-06
2021-10-07,Bottle Rocket,1996,https://boxd.it/2bI2tH,3,,„Bob’s gone! He stole his car!“,wesanderson,2021-10-07
2021-10-11,The Grand Budapest Hotel,2014,https://boxd.it/2ckYaf,4,Yes,"upon rewatch, this deserves half a star extra.",wesanderson,2021-10-11
2021-10-17,Venom,2018,https://boxd.it/2dcdLB,3.5,Yes,"was it good? nah
was it okay? yes
was it absolutely hilarious? YES YES YES",,2021-10-16
2021-10-23,Venom: Let There Be Carnage,2021,https://boxd.it/2e5ykr,3,,I am so weak for Eddie and Venom I wish them all the best omg they are so gay 😭😭😭😭,,2021-10-22
2021-10-24,Megamind,2010,https://boxd.it/2ekZ9P,4,Yes,idk I have nothing funny to say the movie is amazing,,2021-10-24
2021-10-27,Hinterland,2021,https://boxd.it/2eN5Wf,3,,"„Ich bin Realist“
„Trotz der Realität?“
„Wegen der Realität“",,2021-10-25
